item_id,feature_category_id,feature_value_id,remap_value_id
4,-1,1,1
4,3,793,0
4,4,618,0
4,5,605,0
4,7,837,0
4,17,378,0
4,18,289,0
4,19,148,0
4,22,881,0
4,26,268,0
4,32,902,0
4,45,559,0
4,46,825,0
4,47,218,0
4,50,317,0
4,55,267,0
4,56,365,0
4,59,180,0
4,61,462,0
4,63,861,0
4,65,521,0
4,68,373,0
4,69,538,0
4,72,75,0
4,73,544,0
8,-1,1,1
8,3,793,0
8,4,618,0
8,5,605,0
8,7,798,1
8,11,735,0
8,17,378,0
8,18,817,1
8,19,700,1
8,26,268,0
8,32,902,0
8,45,559,0
8,46,825,0
8,47,549,1
8,50,317,0
8,55,267,0
8,56,365,0
8,59,856,1
8,61,462,0
8,63,861,0
8,65,521,0
8,68,351,1
8,69,592,1
8,72,75,0
8,73,544,0
9,-1,1,1
9,3,793,0
9,4,618,0
9,5,605,0
9,7,536,2
9,11,109,1
9,17,378,0
9,18,817,1
9,19,668,2
9,26,268,0
9,32,286,1
9,34,734,0
9,45,559,0
9,46,825,0
9,47,549,1
9,50,317,0
9,55,704,1
9,56,365,0
9,59,180,0
9,61,706,1
9,63,861,0
9,65,521,0
9,68,222,2
9,69,805,2
9,72,649,1
9,73,544,0
19,-1,1,1
19,4,618,0
19,6,399,0
19,7,619,3
19,17,378,0
19,24,189,0
19,29,123,0
19,47,516,2
19,50,317,0
19,53,707,0
19,55,267,0
19,56,365,0
19,60,758,0
19,61,462,0
19,62,801,0
19,63,861,0
19,65,521,0
19,68,103,3
19,69,592,1
19,72,75,0
19,73,544,0
33,-1,0,0
33,3,793,0
33,4,719,1
33,5,605,0
33,7,619,3
33,15,133,0
33,17,378,0
33,19,765,3
33,26,113,1
33,32,902,0
33,34,275,1
33,41,151,0
33,44,556,0
33,45,559,0
33,46,825,0
33,47,36,3
33,50,317,0
33,55,704,1
33,56,365,0
33,61,706,1
33,63,816,1
33,65,521,0
33,68,739,4
33,69,592,1
33,72,219,2
33,73,91,1
40,-1,1,1
40,2,53,0
40,23,510,0
40,31,768,0
40,36,858,0
40,37,469,0
40,38,138,0
40,39,731,0
40,42,409,0
40,47,512,4
40,49,465,0
40,50,317,0
40,51,597,0
40,55,267,0
40,56,365,0
40,61,706,1
40,67,349,0
40,68,373,0
40,73,544,0
51,-1,1,1
51,3,793,0
51,4,618,0
51,5,605,0
51,7,452,4
51,11,735,0
51,17,378,0
51,18,817,1
51,19,765,3
51,26,113,1
51,32,286,1
51,45,559,0
51,46,825,0
51,47,549,1
51,50,317,0
51,55,267,0
51,56,365,0
51,59,180,0
51,61,706,1
51,63,861,0
51,65,521,0
51,68,895,5
51,69,780,3
51,72,75,0
51,73,544,0
54,-1,1,1
54,4,618,0
54,7,394,5
54,24,588,1
54,28,437,0
54,29,386,1
54,33,764,0
54,47,123,5
54,50,317,0
54,53,6,1
54,55,267,0
54,56,365,0
54,61,462,0
54,62,801,0
54,63,861,0
54,68,739,4
54,69,885,4
54,72,75,0
54,73,544,0
64,-1,0,0
64,3,793,0
64,4,618,0
64,5,605,0
64,7,452,4
64,15,584,1
64,17,378,0
64,19,112,4
64,26,400,2
64,30,564,0
64,30,482,1
64,30,194,2
64,30,478,3
64,32,286,1
64,34,275,1
64,41,181,1
64,44,515,1
64,45,559,0
64,46,825,0
64,47,36,3
64,50,317,0
64,55,401,2
64,56,365,0
64,61,706,1
64,63,861,0
64,65,521,0
64,68,335,6
64,69,592,1
64,72,7,3
64,73,91,1
67,-1,1,1
67,3,793,0
67,4,618,0
67,5,605,0
67,7,28,6
67,11,859,2
67,17,378,0
67,18,817,1
67,19,765,3
67,26,113,1
67,32,902,0
67,34,734,0
67,45,559,0
67,46,825,0
67,47,549,1
67,50,240,1
67,55,267,0
67,56,365,0
67,59,180,0
67,61,706,1
67,63,861,0
67,65,521,0
67,68,425,7
67,69,740,5
67,72,263,4
67,73,544,0
69,-1,0,0
69,3,793,0
69,4,618,0
69,5,605,0
69,7,798,1
69,11,109,1
69,17,378,0
69,18,289,0
69,19,668,2
69,26,268,0
69,32,286,1
69,34,275,1
69,45,559,0
69,46,825,0
69,47,549,1
69,50,317,0
69,55,704,1
69,56,161,1
69,59,180,0
69,61,706,1
69,63,861,0
69,65,521,0
69,68,531,8
69,69,805,2
69,72,649,1
69,73,544,0
70,-1,1,1
70,3,793,0
70,4,618,0
70,5,605,0
70,7,452,4
70,11,859,2
70,17,378,0
70,18,79,2
70,19,33,5
70,26,268,0
70,32,902,0
70,34,275,1
70,45,559,0
70,46,825,0
70,47,549,1
70,50,317,0
70,55,704,1
70,56,365,0
70,59,180,0
70,61,706,1
70,63,861,0
70,65,521,0
70,68,351,1
70,69,592,1
70,72,568,5
70,73,544,0
82,-1,1,1
82,2,53,0
82,23,510,0
82,31,768,0
82,36,858,0
82,37,443,1
82,38,138,0
82,39,731,0
82,42,409,0
82,47,512,4
82,49,465,0
82,50,240,1
82,51,625,1
82,55,267,0
82,56,365,0
82,61,706,1
82,67,382,1
82,68,373,0
93,-1,0,0
93,4,618,0
93,7,394,5
93,24,588,1
93,28,70,1
93,29,123,0
93,33,96,1
93,47,123,5
93,50,317,0
93,53,6,1
93,55,267,0
93,56,365,0
93,61,462,0
93,62,15,1
93,63,861,0
93,68,739,4
93,69,805,2
93,72,75,0
93,73,544,0
95,-1,1,1
95,3,793,0
95,4,618,0
95,5,605,0
95,7,490,7
95,11,859,2
95,17,378,0
95,18,158,3
95,19,700,1
95,26,268,0
95,32,902,0
95,45,559,0
95,46,825,0
95,47,549,1
95,50,240,1
95,55,267,0
95,56,365,0
95,59,856,1
95,61,898,2
95,63,861,0
95,65,521,0
95,68,351,1
95,69,639,6
95,72,75,0
95,73,544,0
105,-1,1,1
105,4,618,0
105,7,394,5
105,12,438,0
105,15,451,2
105,17,378,0
105,21,224,0
105,46,825,0
105,47,96,6
105,50,317,0
105,55,267,0
105,56,194,2
105,61,462,0
105,62,801,0
105,63,861,0
105,65,521,0
105,68,744,9
105,69,805,2
105,72,75,0
105,73,544,0
107,-1,0,0
107,3,889,1
107,4,618,0
107,5,605,0
107,7,536,2
107,11,859,2
107,17,378,0
107,18,79,2
107,19,769,6
107,26,113,1
107,32,902,0
107,45,559,0
107,46,825,0
107,47,549,1
107,50,317,0
107,55,267,0
107,56,365,0
107,59,180,0
107,61,462,0
107,63,861,0
107,65,521,0
107,68,745,10
107,69,805,2
107,72,75,0
107,73,544,0
127,-1,1,1
127,4,618,0
127,7,394,5
127,24,588,1
127,28,70,1
127,29,386,1
127,33,764,0
127,47,123,5
127,50,317,0
127,53,6,1
127,55,267,0
127,56,365,0
127,61,462,0
127,62,15,1
127,63,861,0
127,68,10,11
127,69,885,4
127,72,75,0
127,73,544,0
150,-1,1,1
150,1,461,0
150,3,793,0
150,4,618,0
150,5,605,0
150,7,837,0
150,17,378,0
150,19,148,0
150,26,268,0
150,32,902,0
150,34,734,0
150,45,559,0
150,46,825,0
150,47,690,7
150,48,354,0
150,50,240,1
150,55,267,0
150,56,365,0
150,58,299,0
150,59,180,0
150,61,706,1
150,63,861,0
150,68,14,12
150,69,538,0
150,72,748,6
150,73,544,0
158,-1,0,0
158,3,793,0
158,4,618,0
158,5,605,0
158,7,536,2
158,15,26,3
158,17,378,0
158,19,700,1
158,26,113,1
158,30,564,0
158,30,482,1
158,32,902,0
158,34,275,1
158,41,759,2
158,44,174,2
158,45,559,0
158,46,783,1
158,47,36,3
158,50,317,0
158,55,823,3
158,56,365,0
158,61,706,1
158,63,861,0
158,65,521,0
158,68,351,1
158,69,499,7
158,72,219,2
158,73,91,1
160,-1,1,1
160,3,793,0
160,4,719,1
160,4,743,2
160,5,605,0
160,7,619,3
160,11,859,2
160,17,378,0
160,18,289,0
160,19,765,3
160,26,113,1
160,32,902,0
160,34,275,1
160,45,559,0
160,46,825,0
160,47,549,1
160,50,240,1
160,55,683,4
160,56,365,0
160,59,180,0
160,61,706,1
160,63,816,1
160,65,521,0
160,68,351,1
160,69,592,1
160,72,219,2
160,73,544,0
167,-1,0,0
167,3,793,0
167,4,618,0
167,5,605,0
167,7,82,8
167,15,584,1
167,17,378,0
167,19,112,4
167,26,268,0
167,32,902,0
167,34,275,1
167,41,210,3
167,44,615,3
167,45,559,0
167,46,783,1
167,47,36,3
167,50,317,0
167,55,845,5
167,56,365,0
167,61,706,1
167,63,861,0
167,65,521,0
167,68,351,1
167,69,592,1
167,72,7,3
167,73,91,1
172,-1,1,1
172,4,618,0
172,6,399,0
